Task Type,Table PNG,Table Rendering,Dataset Number,Topic,Condition,Repetition,Task,T-Header,T-Column,T-par1,T-Prompt ,T-answer,Answer-Col-or-Row,
1,./Experiment_Data/Tables_PNG//DS1_anime_color1.png,1,1,anime,color,1,Filter,Watching,J,80,"In the 'Watching' column, count how many cells exceed the value of '80'",7,J,
1,./Experiment_Data/Tables_PNG//DS2_anime_color2.png,2,2,anime,color,2,Filter,Popularity,I,70,"In the 'Popularity' column, count how many cells exceed the value of '70'",6,I,
1,./Experiment_Data/Tables_PNG//DS3_anime_color3.png,3,3,anime,color,3,Filter,Watching,G,88,"In the 'Watching' column, count how many cells exceed the value of '88'",5,G,
1,./Experiment_Data/Tables_PNG//DS4_anime_color4.png,4,4,anime,color,4,Filter,Members,K,43,"In the 'Members' column, count how many cells exceed the value of '43'",8,K,
1,./Experiment_Data/Tables_PNG//DS5_cereal_zebra1.png,21,5,cereal,zebra,1,Filter,Sodium,I,57,"In the 'Sodium' column, count how many cells exceed the value of '57'",8,I,
1,./Experiment_Data/Tables_PNG//DS6_cereal_zebra2.png,22,6,cereal,zebra,2,Filter,Score,H,70,"In the 'Score' column, count how many cells exceed the value of '70'",5,H,
1,./Experiment_Data/Tables_PNG//DS7_cereal_zebra3.png,23,7,cereal,zebra,3,Filter,Carbo,J,45,"In the 'Carbo' column, count how many cells exceed the value of '45'",6,J,
1,./Experiment_Data/Tables_PNG//DS8_cereal_zebra4.png,24,8,cereal,zebra,4,Filter,Sodium,K,60,"In the 'Sodium' column, count how many cells exceed the value of '60'",7,K,
1,./Experiment_Data/Tables_PNG//DS9_candy_plain1.png,41,9,candy,plain,1,Filter,Fruity,K,66,"In the 'Fruity' column, count how many cells exceed the value of '66'",5,K,
1,./Experiment_Data/Tables_PNG//DS10_candy_plain2.png,42,10,candy,plain,2,Filter,Rating,J,38,"In the 'Rating' column, count how many cells exceed the value of '38'",8,J,
1,./Experiment_Data/Tables_PNG//DS11_candy_plain3.png,43,11,candy,plain,3,Filter,Pluribus,G,50,"In the 'Pluribus' column, count how many cells exceed the value of '50'",7,G,
1,./Experiment_Data/Tables_PNG//DS12_candy_plain4.png,44,12,candy,plain,4,Filter,Nougat,I,57,"In the 'Nougat' column, count how many cells exceed the value of '57'",6,I,
1,./Experiment_Data/Tables_PNG//DS13_movie_bar1.png,61,13,movie,bar,1,Filter,Fandango,H,70,"In the 'Fandango' column, count how many cells exceed the value of '70'",5,H,
1,./Experiment_Data/Tables_PNG//DS14_movie_bar2.png,62,14,movie,bar,2,Filter,Hulu,I,76,"In the 'Hulu' column, count how many cells exceed the value of '76'",8,I,
1,./Experiment_Data/Tables_PNG//DS15_movie_bar3.png,63,15,movie,bar,3,Filter,PluggedIn,J,54,"In the 'PluggedIn' column, count how many cells exceed the value of '54'",7,J,
1,./Experiment_Data/Tables_PNG//DS16_movie_bar4.png,64,16,movie,bar,4,Filter,Netflix,G,57,"In the 'Netflix' column, count how many cells exceed the value of '57'",6,G,
2,./Experiment_Data/Tables_PNG//DS1_anime_color1.png,1,1,anime,color,1,Correlation,Episodes,C,0,Determine which of the last 5 columns is positively correlated with the column named 'Episodes',Completed,I,
2,./Experiment_Data/Tables_PNG//DS2_anime_color2.png,2,2,anime,color,2,Correlation,"Plan to Watch",C,0,"Determine which of the last 5 columns is positively correlated with the column named 'Plan to Watch'",Favorites,L,
2,./Experiment_Data/Tables_PNG//DS3_anime_color3.png,3,3,anime,color,3,Correlation,Completed,C,0,Determine which of the last 5 columns is positively correlated with the column named 'Completed',Episodes,K,
2,./Experiment_Data/Tables_PNG//DS4_anime_color4.png,4,4,anime,color,4,Correlation,Score,C,0,Determine which of the last 5 columns is positively correlated with the column named 'Score',Dropped,J,
2,./Experiment_Data/Tables_PNG//DS5_cereal_zebra1.png,21,5,cereal,zebra,1,Correlation,Potassium,C,0,Determine which of the last 5 columns is positively correlated with the column named 'Potassium',Sugars,K,
2,./Experiment_Data/Tables_PNG//DS6_cereal_zebra2.png,22,6,cereal,zebra,2,Correlation,Calories,C,0,Determine which of the last 5 columns is positively correlated with the column named 'Calories',Protein,I,
2,./Experiment_Data/Tables_PNG//DS7_cereal_zebra3.png,23,7,cereal,zebra,3,Correlation,Iron,C,0,Determine which of the last 5 columns is positively correlated with the column named 'Iron',Carbo,J,
2,./Experiment_Data/Tables_PNG//DS8_cereal_zebra4.png,24,8,cereal,zebra,4,Correlation,Vitamins,C,0,Determine which of the last 5 columns is positively correlated with the column named 'Vitamins',Potassium,L,
2,./Experiment_Data/Tables_PNG//DS9_candy_plain1.png,41,9,candy,plain,1,Correlation,Hard,C,0,Determine which of the last 5 columns is positively correlated with the column named 'Hard',Chocolate,L,
2,./Experiment_Data/Tables_PNG//DS10_candy_plain2.png,42,10,candy,plain,2,Correlation,"Sugar Percent",C,0,"Determine which of the last 5 columns is positively correlated with the column named 'Sugar Percent'",Rating,J,
2,./Experiment_Data/Tables_PNG//DS11_candy_plain3.png,43,11,candy,plain,3,Correlation,Rating,C,0,Determine which of the last 5 columns is positively correlated with the column named 'Rating',Chocolate,K,
2,./Experiment_Data/Tables_PNG//DS12_candy_plain4.png,44,12,candy,plain,4,Correlation,Hard,C,0,Determine which of the last 5 columns is positively correlated with the column named 'Hard',Nougat,I,
2,./Experiment_Data/Tables_PNG//DS13_movie_bar1.png,61,13,movie,bar,1,Correlation,Naver,C,0,Determine which of the last 5 columns is positively correlated with the column named 'Naver',Roger Ebert,I,
2,./Experiment_Data/Tables_PNG//DS14_movie_bar2.png,62,14,movie,bar,2,Correlation,MrQE,C,0,Determine which of the last 5 columns is positively correlated with the column named 'MrQE',Netflix,L,
2,./Experiment_Data/Tables_PNG//DS15_movie_bar3.png,63,15,movie,bar,3,Correlation,"Rotten Tomatoes",C,0,"Determine which of the last 5 columns is positively correlated with the column named 'Rotten Tomatoes'",Netflix,K,
2,./Experiment_Data/Tables_PNG//DS16_movie_bar4.png,64,16,movie,bar,4,Correlation,IMDB,C,0,Determine which of the last 5 columns is positively correlated with the column named 'IMDB',Fandango,J,
3,./Experiment_Data/Tables_PNG//DS1_anime_color1.png,1,1,anime,color,1,Sort,Completed,I,0,"In the 'Completed' column, give the row name of the animes with the highest 3 values in descending order" ,Connect Angel-Helping Alice-Best Humanity,18 17 28,
3,./Experiment_Data/Tables_PNG//DS2_anime_color2.png,2,2,anime,color,2,Sort,Favorites,L,0,"In the 'Favorites' column, give the row name of the animes with the highest 3 values in descending order" ,Fafnar Weapon-Connect Angel-Ultra Generation,12 18 4,
3,./Experiment_Data/Tables_PNG//DS3_anime_color3.png,3,3,anime,color,3,Sort,On-Hold,J,0,"In the 'On-Hold' column, give the row name of the animes with the highest 3 values in descending order" ,Dragon Ball- Different Life-Connect Angel,25 10 11,
3,./Experiment_Data/Tables_PNG//DS4_anime_color4.png,4,4,anime,color,4,Sort,Members,K,0,"In the 'Members' column, give the row name of the animes with the highest 3 values in descending order" ,Different Life-Fafnar Weapon-Travel World,6 24 22,
3,./Experiment_Data/Tables_PNG//DS5_cereal_zebra1.png,21,5,cereal,zebra,1,Sort,Vitamins,H,0,"In the Vitamins column, name the cereals with the highest 3 values in descending order" ,Cap Crunch-Corn Favorite-Raisin Bran,5 19 20,
3,./Experiment_Data/Tables_PNG//DS6_cereal_zebra2.png,22,6,cereal,zebra,2,Sort,Protein,I,0,"In the 'Protein' column, name the cereals with the highest 3 values in descending order" ,Smile Maker-Natural Bran-Fruity Pebbles,22 3 7,
